time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,12.033996,140.40208100000018,-11.87280729411765,85,0,23431,93.54117647058824,,,,,,,,,,
2,0.019688704,16384,65.9995065,128.1996935,33.706320520000006,96,0,20264,84.94,0.010150211,-1.3805366218090058,0.0009942656,0.2,10,1683.9927978515625,3613.338732910156,-0.004082230647327378,-0.006069302558898926,0.04158935546875
3,0.019533056,24576,51.634567000000004,134.74651280000003,29.517492899999997,94,1,19450,87.64,0.00469152,-1.3748979717493057,0.0009885312,0.2,20,1550.30908203125,3153.1355102539064,-0.0019309553317725658,0.03940391540527344,0.0
4,0.019377408,32768,75.403391,130.666147,61.907242249999996,96,1,19087,85.32,0.0028602069,-1.3626435935497283,0.0009827968,0.2,30,1710.9642333984375,3357.970916748047,-0.001847532845567912,0.04441410303115845,0.00074462890625
5,0.01922176,40960,64.4294755,131.8594235,58.285701149999994,96,2,18850,85.71,0.001670334,-1.3552319020032884,0.0009770624,0.2,40,1460.5672607421875,2946.207696533203,-0.0010894903229200282,0.08343207836151123,0.0
6,0.019066112,49152,75.785928,153.9905032,63.737003560000005,93,2,18693,88.02,0.0038811308,-1.3600217193365096,0.000971328,0.2,50,1164.9542236328125,2333.115301513672,-0.0016231785761192442,0.09759801626205444,0.001416015625
7,0.018910464000000002,57344,62.76314549999999,120.9569005,43.77830509000001,96,3,18583,85.88,0.0054017818,-1.361697244644165,0.0009655936,0.2,60,1292.4091796875,2693.6794006347654,-0.0017408943909686058,0.09903401136398315,0.0010498046875
8,0.018754816,65536,66.2932945,124.40456530000003,50.99388465999999,100,3,18490,82.35,0.007743162,-1.358770889043808,0.0009598592,0.2,70,1217.148681640625,2560.672802734375,-0.004514654079684988,0.07264912128448486,0.05242919921875
9,0.018599168,73728,79.048437,143.117766,79.54266214,101,4,18429,81.04,0.0062039997,-1.3504287630319596,0.0009541248,0.2,80,1049.437744140625,2104.2280090332033,-0.0035329018777702005,0.19645732641220093,0.05498046875
10,0.01844352,81920,66.6385195,151.355754,70.28641829999998,96,4,18378,84.6,0.0014937959,-1.3601669877767564,0.0009483904,0.2,90,1109.192138671875,2315.635382080078,-0.0003388089069630951,0.19429373741149902,0.0
11,0.018287872,90112,78.6951525,153.62313130000004,71.88160639,102,4,18342,80.82,0.007009717,-1.3535698175430297,0.000942656,0.2,100,1089.2784423828125,2187.681640625,-0.001804822258418426,0.11502021551132202,0.0048583984375
12,0.018132224000000002,98304,72.507394,141.77195240000003,72.23210849,95,5,18315,86.24,0.006856662,-1.3464363545179368,0.0009369216,0.2,110,1173.0389404296875,2433.600451660156,-0.004663471225649118,0.07375472784042358,0.05811767578125
13,0.017976576,106496,72.945471,145.88705300000004,68.14844725,97,5,18287,84.54,0.0032862518,-1.345919233560562,0.0009311872000000001,0.2,120,880.9788818359375,1866.5017547607422,-0.0020006188133265823,0.16607338190078735,0.002197265625
14,0.017820928,114688,67.7677645,158.66896160000002,68.20846805000001,92,6,18257,87.68,0.0061201276,-1.3536560744047166,0.0009254528000000001,0.2,130,952.3870239257812,2096.4837158203127,-0.001953332478296943,0.12329453229904175,0.00626220703125
15,0.017665280000000002,122880,82.046005,163.0768696,89.89092305000003,97,6,18238,86.08,0.0030170328,-1.3545285910367966,0.0009197184000000001,0.2,140,879.3492431640625,1826.312533569336,-0.0018490509275579825,0.12252974510192871,0.00462646484375
16,0.017509632,131072,75.088837,157.4961418,79.25551046,95,7,18217,87.28,0.002259829,-1.3553644448518753,0.0009139840000000001,0.2,150,892.56591796875,1784.3728149414062,-0.0010580535075860099,0.13772976398468018,0.0
