time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,-191.769414,-88.9114702,-239.6538986823529,85,0,21659,92.82352941176471,,,,,,,,,,
2,0.019688704,16384,-147.30499650000002,-46.200687999999985,-199.36715648999999,92,0,19029,88.18,0.0024594022,-1.3853565365076066,0.0009942656,0.2,10,3707.45361328125,7611.1458984375,-0.001197008538292721,-0.003161311149597168,0.00115966796875
3,0.019533056,24576,-131.530228,-58.5947525,-175.42620997000003,96,1,18537,87.04,0.0034161638,-1.3811503678560257,0.0009885312,0.2,20,3194.296875,6306.715051269532,-0.001688064934569411,0.01490086317062378,0.00115966796875
4,0.019377408,32768,-88.0343465,-22.49464179999999,-132.62115143,90,1,18118,88.75,0.009243411,-1.3737658441066742,0.0009827968,0.2,30,2364.73974609375,4789.7095947265625,-0.0024657390546053647,0.03468722105026245,0.01651611328125
5,0.01922176,40960,-94.346769,-24.097885,-133.63468945,93,2,18141,88.69,0.0077262213,-1.3537754267454147,0.0009770624,0.2,40,1686.342041015625,3730.489434814453,-0.0026865919673582537,0.09680557250976562,0.00753173828125
6,0.019066112,49152,-80.0195435,11.792343400000007,-119.08936770999999,100,2,18078,80.89,0.008909008,-1.3087276339530944,0.000971328,0.2,50,1726.3919677734375,3426.9015625,-0.002836742904037237,0.15721982717514038,0.02283935546875
7,0.018910464000000002,57344,-35.662652,79.6283234,-53.15553653000002,99,3,18130,83.73,0.012043578,-1.2524990022182465,0.0009655936,0.2,60,1827.867431640625,3509.1977111816404,-0.002707657782593742,0.18406713008880615,0.0367919921875
8,0.018754816,65536,-44.331581,105.11157759999999,-47.78731887,103,3,17999,78.59,0.010019189,-1.1565541863441466,0.0009598592,0.2,70,1926.3656005859375,4075.3485412597656,-0.0027261464216280728,0.17985117435455322,0.02017822265625
9,0.018599168,73728,-10.683734,142.0445894000001,-12.343057329999997,105,4,17888,78.43,0.013590561,-1.0399688199162482,0.0009541248,0.2,80,1467.239990234375,2950.5113891601563,-0.004265536772436462,0.201793372631073,0.108642578125
10,0.01844352,81920,-7.7040120000000005,162.441477,-6.96228625,106,4,17790,76.53,0.0026238677,-0.9841305151581764,0.0009483904,0.2,90,1507.72119140625,3224.574774169922,-0.0006578352476935834,0.21375763416290283,0.00089111328125
