time/total_timesteps,rollout/ep_score_p90,rollout/ep_count,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_score_median,train/ent_coef,train/entropy_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/value_loss
8192,383.9619804,85,0,186.20332305882354,1,93.54117647058824,23082,158.571103,0.019844352,,,,,,,,,,
16384,426.4569125,86,0,219.3229702,2,93.71,19833,212.9573275,0.019688704,-1.382901105284691,0.01182861328125,0.0064014858,0.0009942656,0.003666818141937256,0.2,-0.003931464414927177,10,3239.585693359375,6860.643481445312
24576,515.3488535,88,1,272.2855232,3,92.36,19325,266.68185800000003,0.019533056,-1.373537066578865,0.0,0.0027191371,0.0009885312,0.013015687465667725,0.2,-0.0021517206099815668,20,4155.25,8532.031091308594
32768,531.4450424,87,1,320.2575994,4,95.24,18797,346.883623,0.019377408,-1.3587527632713319,0.0008544921875,0.002772031,0.0009827968,0.007824063301086426,0.2,-0.0020558434713166206,30,6037.419921875,12637.690966796876
40960,725.9981157,88,2,395.92746539,5,93.6,18495,387.602289,0.01922176,-1.347556722164154,0.0,0.00093470607,0.0009770624,0.005788028240203857,0.2,-0.0010531631851335987,40,7699.8623046875,16114.688818359375
49152,714.9711053999999,87,2,389.76663076,6,94.68,18305,353.868122,0.019066112,-1.323628729581833,0.0,0.0012491976,0.000971328,0.0026271939277648926,0.2,-0.0012299822526983916,50,13475.814453125,26963.885107421876
57344,698.5674327,92,3,406.4987905999999,7,88.55,18168,387.0602275,0.018910464000000002,-1.3139656454324722,0.0,0.00056653755,0.0009655936,0.001863241195678711,0.2,-0.0004800992377568036,60,13461.52734375,26951.72734375
65536,800.0783867000001,84,3,409.51125598000016,8,88.45,18040,351.6698735,0.018754816,-1.3005935072898864,0.0,0.0008063329,0.0009598592,0.002827167510986328,0.2,-0.0007500049017835408,70,13810.587890625,28494.829833984375
73728,763.5706816000002,90,4,359.60008486000004,9,96.49,17954,359.25835900000004,0.018599168,-1.288162776827812,0.0,0.0005287845,0.0009541248,0.003794431686401367,0.2,-0.0006055510020814836,80,15559.6630859375,32729.171533203124
81920,707.0489199999996,88,4,415.6227011299998,10,91.21,17888,398.59511,0.01844352,-1.280772215127945,0.0,0.00016538103,0.0009483904,0.004811108112335205,0.2,-0.0003213194286217913,90,13826.7890625,26844.772412109374
90112,756.4758538,83,5,435.55105256999997,11,92.88,17831,372.816411,0.018287872,-1.2830687195062638,0.0,0.0006857479,0.000942656,0.002620398998260498,0.2,-0.0006298181280726567,100,16441.326171875,33554.076171875
98304,836.953539,91,5,422.41624551000007,12,97.43,17782,346.080067,0.018132224000000002,-1.2722146153450011,0.0,0.00045916645,0.0009369216,0.038525402545928955,0.2,-0.0004718013689853251,110,13820.9716796875,29507.06875
