time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,274.908797,450.37640000000005,288.9304487058823,85,0,22863,92.82352941176471,,,,,,,,,,
2,0.019688704,16384,314.8378785,486.8864224000001,318.08934301,82,0,20009,96.43,0.0060782405,-1.3837305366992951,0.0009942656,0.2,10,4205.97900390625,8807.628588867188,-0.0025056255050003528,0.007016241550445557,0.0095458984375
3,0.019533056,24576,314.484603,459.3020414,320.32561521,88,1,19217,96.56,0.00070209726,-1.3786409080028534,0.0009885312,0.2,20,4969.47607421875,10343.020947265624,-0.0005354541819542647,0.03032785654067993,0.0
4,0.019377408,32768,300.9400155,495.6492110000001,313.20071966,82,1,18847,97.36,0.00031609525,-1.3740673273801804,0.0009827968,0.2,30,4560.4482421875,9626.346044921875,-0.000263034287490882,0.02677518129348755,0.0
5,0.01922176,40960,333.29854950000004,518.2088197,337.3387526100001,80,2,18592,100.83,0.001518725,-1.3724034160375596,0.0009770624,0.2,40,4533.3154296875,9342.252734375,-0.0009676332818344235,0.0181809663772583,0.0
6,0.019066112,49152,327.72655299999997,476.70815,334.40339238,76,2,18463,108.21,0.0015613101,-1.3684136003255845,0.000971328,0.2,50,4976.19189453125,10050.805908203125,-0.0010638755513355136,0.011876285076141357,0.0
7,0.018910464000000002,57344,338.5719125,507.20152190000005,347.93150407,74,3,18373,110.52,0.0017336117,-1.363224533200264,0.0009655936,0.2,60,4063.810546875,8381.443994140625,-0.0011009941285010428,0.01456141471862793,0.0
8,0.018754816,65536,387.053135,534.0265512000001,362.38957607000003,75,3,18303,112.98,0.00050187507,-1.357848620414734,0.0009598592,0.2,70,4729.853515625,9709.340795898437,-0.00033953967213165017,0.00952756404876709,0.0
9,0.018599168,73728,303.643769,493.73828500000013,333.40237859,80,4,18258,100.91,0.00028411497,-1.3578837603330611,0.0009541248,0.2,80,5447.9833984375,10859.468017578125,-0.0002979012409923598,0.006629049777984619,0.0
10,0.01844352,81920,399.463218,509.366968,359.68428882,71,4,18226,106.35,0.0014459412,-1.3527919828891755,0.0009483904,0.2,90,4434.9619140625,9176.179711914063,-0.000970344609231688,0.004790842533111572,0.0
11,0.018287872,90112,353.566403,510.28575220000005,368.68434838999997,75,4,18200,112.89,0.00045751955,-1.3482391655445098,0.000942656,0.2,100,4851.888671875,10289.47158203125,-0.00038154770445544275,0.0058043599128723145,0.0
12,0.018132224000000002,98304,408.064686,549.094589,385.02219808,73,5,18171,108.38,0.0026952457,-1.3341577708721162,0.0009369216,0.2,110,4884.24462890625,10168.022875976563,-0.0016333651321474463,0.004843175411224365,0.0
13,0.017976576,106496,375.70703249999997,551.08957,394.18095561,76,5,18145,110.53,0.0006132757,-1.3098109036684036,0.0009311872000000001,0.2,120,5921.3916015625,12067.848315429688,-0.0005950189137365669,0.003052234649658203,0.0
14,0.017820928,114688,409.392165,608.8228422000001,423.92882798,68,6,18137,116.92,0.0013848648,-1.3000228375196456,0.0009254528000000001,0.2,130,5544.44384765625,11262.456079101563,-0.0007912008528364822,0.003040313720703125,0.0
15,0.017665280000000002,122880,422.099033,640.1094798,434.46632338,69,6,18131,117.36,0.0007873404,-1.2735069423913956,0.0009197184000000001,0.2,140,6515.93994140625,12965.734814453124,-0.0005655493820086122,0.002474665641784668,0.0
16,0.017509632,131072,421.560731,619.5182744000002,436.01083533,69,7,18127,115.04,0.00070075656,-1.259882664680481,0.0009139840000000001,0.2,150,6628.5244140625,13300.47060546875,-0.0007647630613064393,0.00187605619430542,0.0
17,0.017353984,139264,434.280691,708.2218804,458.41908451999996,67,7,18121,121.2,0.00018515054,-1.2539048075675965,0.0009082496000000001,0.2,160,6559.20849609375,13570.372216796875,-0.00016786393825896084,0.004004299640655518,0.0
18,0.017198336,147456,410.93145,828.5610182,472.94811216999994,65,8,18109,124.13,0.00013712826,-1.2500430524349213,0.0009025152000000001,0.2,170,6966.8330078125,14148.9998046875,-0.00019651870825327934,0.014030396938323975,0.0
19,0.017042688,155648,459.6339615,803.0237732,503.8539608,64,8,18106,127.87,0.0003998314,-1.2487907230854034,0.0008967808000000001,0.2,180,7671.396484375,15485.29423828125,-0.0004899685562122613,0.0026581287384033203,0.0
20,0.016887040000000002,163840,393.4233685,603.0685778999999,428.19094059999986,72,9,18103,116.1,0.0014361343,-1.2447072446346283,0.0008910464000000001,0.2,190,8101.16650390625,16597.507397460937,-0.001032105856575072,0.005032479763031006,0.00032958984375
21,0.016731392,172032,431.25107049999997,710.0275323000002,429.7347957899999,68,9,18098,117.8,0.00058773044,-1.2747424989938736,0.0008853120000000001,0.2,200,5873.40869140625,11957.2427734375,-0.00012080951710231602,0.01545417308807373,0.0
22,0.016575744,180224,382.846578,615.9933729999999,434.8808342399999,67,9,18096,119.19,0.0008830456,-1.278068047761917,0.0008795776000000001,0.2,210,6291.24609375,13060.086669921875,-0.0007483251858502627,0.010991454124450684,0.0
