time/iterations,train/ent_coef,time/total_timesteps,rollout/ep_score_median,rollout/ep_score_p90,rollout/ep_rew_mean,rollout/ep_count,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
1,0.019844352,8192,12.498642,341.54075900000004,-224.79141772941173,85,0,23000,93.54117647058824,,,,,,,,,,
2,0.019688704,16384,-56.192784,297.4000783999999,-206.45603985000002,83,0,19952,92.18,0.0066519286,-1.3825343370437622,0.0009942656,0.2,10,18034.861328125,37229.24912109375,-0.0020612866792362183,-0.0003046989440917969,0.00797119140625
3,0.019533056,24576,-36.97543,320.2137495,-224.64409785,86,1,19109,99.23,0.0055202427,-1.3795239210128785,0.0009885312,0.2,20,12702.2626953125,24222.900537109374,-0.001169773846049793,0.0034884214401245117,0.00091552734375
4,0.019377408,32768,-130.751364,221.994038,-210.26659545,96,1,18725,86.54,0.0007040829,-1.3741515129804611,0.0009827968,0.2,30,17191.205078125,32609.3626953125,-0.0004488021048018709,0.018975555896759033,0.0
5,0.01922176,40960,-25.922736,347.4160078,-162.82350412000002,87,2,18528,91.15,0.0026036527,-1.3757069081068038,0.0009770624,0.2,40,11785.1611328125,23613.839013671874,-0.0009760992194060236,0.033867716789245605,0.0
6,0.019066112,49152,-16.174536,343.1415926,-88.19133756000002,93,2,18383,90.72,0.0011859688,-1.3764369487762451,0.000971328,0.2,50,13190.859375,26839.84912109375,-0.0004976878437446431,0.04388749599456787,0.0
7,0.018910464000000002,57344,44.2327205,321.245803,-71.50245698999998,86,3,18267,93.55,0.0013403399,-1.36949722468853,0.0009655936,0.2,60,11411.1064453125,22797.1396484375,-0.0006100078870076686,0.07670974731445312,0.0
8,0.018754816,65536,-43.863325,336.0482273,-141.45624916,84,3,18206,97.7,0.0029891436,-1.3628313720226288,0.0009598592,0.2,70,12348.73046875,23932.219384765624,-0.0008045452123042196,0.07602179050445557,0.0
9,0.018599168,73728,140.779517,347.59086179999997,-13.008337409999998,73,4,18162,98.74,0.0011611998,-1.3494174182415009,0.0009541248,0.2,80,13225.166015625,27152.020751953125,-0.000532978231785819,0.12188303470611572,0.0
10,0.01844352,81920,-48.968621,336.38718639999996,-128.4916253,79,4,18111,110.85,0.0017785635,-1.3483318507671356,0.0009483904,0.2,90,10584.49609375,21967.807373046875,-0.0006863767397589981,0.1010468602180481,0.0
11,0.018287872,90112,82.341362,336.78586,-58.9374821,79,4,18090,103.03,0.0005449325,-1.3404364228248595,0.000942656,0.2,100,14050.2734375,28534.21552734375,-0.00029662823653779923,0.10770922899246216,0.0
12,0.018132224000000002,98304,2.558155,368.773282,-100.96848422,69,5,18079,114.1,0.0059704166,-1.3286318838596345,0.0009369216,0.2,110,11768.6279296875,23576.849609375,-0.0011517071252455935,0.10364633798599243,0.00263671875
13,0.017976576,106496,87.284465,303.0735938,-109.66491566999998,83,5,18039,110.3,0.0021927818,-1.3003714501857757,0.0009311872000000001,0.2,120,11798.921875,23691.86484375,-0.0008119962294586003,0.14083963632583618,0.0
14,0.017820928,114688,142.758003,322.3061607,-68.75309776000002,70,6,18005,105.03,0.00011821062,-1.274485120177269,0.0009254528000000001,0.2,130,14262.580078125,28503.173486328124,-0.00012301056121941656,0.17910420894622803,0.0
15,0.017665280000000002,122880,45.283395,307.9433634,-62.6816014,77,6,17986,112.03,0.00076470093,-1.2875585675239563,0.0009197184000000001,0.2,140,9388.53125,18718.163818359375,-0.00018316771747777237,0.19891047477722168,0.0
16,0.017509632,131072,104.7308385,337.1794654,-53.98973802,80,7,17970,101.89,0.0021813128,-1.2987043261528015,0.0009139840000000001,0.2,150,10568.44921875,20869.671435546876,-0.0005016424547648057,0.2054157257080078,0.0
17,0.017353984,139264,120.65809,342.4278448000002,-32.687420350000004,87,7,17960,98.9,0.0006887688,-1.3118985921144486,0.0009082496000000001,0.2,160,11458.0048828125,23238.293603515624,-0.00038399805489461867,0.18711775541305542,0.0
18,0.017198336,147456,64.674167,327.5923123,-80.67397228999998,80,8,17946,100.28,0.0021874022,-1.2935444712638855,0.0009025152000000001,0.2,170,11181.4814453125,22448.343994140625,-0.0007004057522863149,0.2036118507385254,0.0
19,0.017042688,155648,80.801715,321.08695250000005,-45.36454657,84,8,17938,95.32,0.00085606356,-1.2698149710893631,0.0008967808000000001,0.2,180,11829.12890625,23355.683154296876,-0.0004543564980849624,0.20954185724258423,0.0
20,0.016887040000000002,163840,37.331557,319.288601,-77.90114143000001,81,9,17921,98.82,0.0024915033,-1.2625825166702271,0.0008910464000000001,0.2,190,9911.072265625,20087.10703125,-0.0006555926753208041,0.2693072557449341,0.0
21,0.016731392,172032,128.6948725,313.0080617,-50.40761314999999,78,9,17917,100.13,0.00036713068,-1.2523292154073715,0.0008853120000000001,0.2,200,11068.5712890625,22461.487451171874,-9.963844786398113e-05,0.2499188780784607,0.0
22,0.016575744,180224,8.982317,302.84654650000004,-99.39293880999998,82,10,17914,103.82,0.0019122245,-1.2504846394062041,0.0008795776000000001,0.2,210,13036.5146484375,25671.938525390626,-0.0006292177073191852,0.26208871603012085,0.0
23,0.016420096,188416,147.34298,329.018863,-21.132263540000004,81,10,17905,100.98,0.00033954275,-1.2426351577043533,0.0008738432000000001,0.2,220,9007.7158203125,18165.441552734374,-0.00021546404168475418,0.3203620910644531,0.0
24,0.016264448,196608,38.411219,316.03637280000004,-93.90424558000001,77,10,17902,102.86,0.0007547325,-1.2468223780393601,0.0008681088000000001,0.2,230,10723.6123046875,21299.616064453126,-0.0003203306085197255,0.2584879398345947,0.0
25,0.0161088,204800,27.287523,336.03444040000005,-124.70456409999997,77,11,17896,107.95,0.00079506653,-1.2494666248559951,0.0008623744000000001,0.2,240,11715.2587890625,24775.77314453125,-0.00037333464133553206,0.28051793575286865,0.0
26,0.015953152,212992,61.510347,325.2613656000001,-45.83529808,77,11,17886,106.4,0.0016163633,-1.2335619062185288,0.0008566400000000001,0.2,250,10546.26953125,22211.448291015626,-0.0005613913148408755,0.26302820444107056,0.0
27,0.015797504,221184,67.900718,300.9151255000002,-106.72037414,80,12,17880,102.11,0.009351685,-1.1955077171325683,0.0008509056000000001,0.2,260,9123.2578125,18453.4328125,-0.0018792498449329287,0.331696093082428,0.02247314453125
